name,full_name,html_url,created_at,updated_at,pushed_at,archived,fork,language,stargazers_count,homepage,description
slic-landing-page,Nonarkara/slic-landing-page,https://github.com/Nonarkara/slic-landing-page,2026-02-09T15:25:13Z,2026-08-31T12:58:36Z,2026-07-21T12:42:47Z,true,false,HTML,0,https://slic-index.onrender.com,"SLIC Index V1 — The original provocation. First published on LinkedIn, sparked a movement. 103 cities ranked transparently for the first time. Where it all started. [Archive — see V3 for latest]"
asean-csco-app,Nonarkara/asean-csco-app,https://github.com/Nonarkara/asean-csco-app,2026-02-10T06:29:51Z,2026-05-08T14:15:59Z,2026-05-08T14:14:53Z,false,false,HTML,0,,
non-landing-page,Nonarkara/non-landing-page,https://github.com/Nonarkara/non-landing-page,2026-02-24T05:58:15Z,2026-08-31T12:58:37Z,2026-02-24T07:42:52Z,true,false,JavaScript,0,,"NON — city systems designer, anthropologist, novelist"
non-landing-page-2,Nonarkara/non-landing-page-2,https://github.com/Nonarkara/non-landing-page-2,2026-02-24T08:21:43Z,2026-08-31T12:58:38Z,2026-02-24T17:25:00Z,true,false,JavaScript,0,,NON — editorial minimalist landing page
non-landing-page-3,Nonarkara/non-landing-page-3,https://github.com/Nonarkara/non-landing-page-3,2026-02-24T18:32:44Z,2026-08-31T12:58:40Z,2026-02-24T19:58:53Z,true,false,JavaScript,0,,Non Landing Page 3
non-landing-page-4,Nonarkara/non-landing-page-4,https://github.com/Nonarkara/non-landing-page-4,2026-02-25T04:55:17Z,2026-08-31T12:58:41Z,2026-02-25T09:44:53Z,true,false,JavaScript,0,,NON — City systems designer. Anthropologist. Novelist.
non-landing-page-5,Nonarkara/non-landing-page-5,https://github.com/Nonarkara/non-landing-page-5,2026-02-26T02:11:41Z,2026-08-31T12:58:42Z,2026-03-05T16:41:15Z,true,false,JavaScript,0,,
globalmonitor,Nonarkara/globalmonitor,https://github.com/Nonarkara/globalmonitor,2026-02-27T18:16:24Z,2026-08-31T10:23:55Z,2026-08-31T10:17:37Z,false,false,JavaScript,0,https://nonarkara.github.io/globalmonitor/,Dr Non's Digital Economy Dashboard by depa
smart-city-thailand-monitor,Nonarkara/smart-city-thailand-monitor,https://github.com/Nonarkara/smart-city-thailand-monitor,2026-02-28T10:22:34Z,2026-07-11T16:41:34Z,2026-07-11T16:41:13Z,false,false,TypeScript,0,,Smart City Thailand public monitor dashboard prototype
solomon-islands-workshop,Nonarkara/solomon-islands-workshop,https://github.com/Nonarkara/solomon-islands-workshop,2026-03-04T13:23:40Z,2026-08-21T15:46:27Z,2026-08-21T15:46:23Z,false,false,HTML,0,,"Strategic Workshop Report: Digitalizing Solomon Islands – UN DESA × Government of Solomon Islands, December 2025"
ascnofficial,Nonarkara/ascnofficial,https://github.com/Nonarkara/ascnofficial,2026-03-05T06:14:24Z,2026-08-21T15:48:55Z,2026-08-21T15:46:04Z,false,false,JavaScript,0,,
ascn-smart-cities-network,Nonarkara/ascn-smart-cities-network,https://github.com/Nonarkara/ascn-smart-cities-network,2026-03-05T06:44:58Z,2026-08-21T15:47:00Z,2026-08-21T15:46:07Z,false,false,JavaScript,0,https://ascn.nonarkara.org,"ASCN V2 Progress Observatory: lightweight analytics for ASEAN Smart Cities Network reports, projects, focus areas, and source evidence."
techhuntthailand,Nonarkara/techhuntthailand,https://github.com/Nonarkara/techhuntthailand,2026-03-05T07:19:56Z,2026-07-11T16:41:32Z,2026-07-11T16:41:28Z,false,false,JavaScript,0,,Smart City Thailand Tech Hunt trilingual showcase directory
scl-landing-page,Nonarkara/scl-landing-page,https://github.com/Nonarkara/scl-landing-page,2026-03-08T04:09:31Z,2026-08-21T15:46:42Z,2026-08-21T15:46:20Z,false,false,JavaScript,0,,
RAAT,Nonarkara/RAAT,https://github.com/Nonarkara/RAAT,2026-03-08T04:51:18Z,2026-03-11T19:26:28Z,2026-03-11T19:26:25Z,false,false,JavaScript,0,,The Royal Automobile Association of Thailand
dr-non-operating-systems,Nonarkara/dr-non-operating-systems,https://github.com/Nonarkara/dr-non-operating-systems,2026-03-08T06:58:32Z,2026-08-21T15:47:27Z,2026-08-21T15:47:01Z,false,false,JavaScript,0,,
phuket-smart-bus,Nonarkara/phuket-smart-bus,https://github.com/Nonarkara/phuket-smart-bus,2026-03-08T08:52:54Z,2026-08-16T19:14:17Z,2026-08-16T19:14:14Z,false,false,TypeScript,0,,Phuket Smart Bus rider prototype
SLIC-Index,Nonarkara/SLIC-Index,https://github.com/Nonarkara/SLIC-Index,2026-03-09T00:54:07Z,2026-08-28T19:02:52Z,2026-08-28T18:58:46Z,false,false,TypeScript,0,https://nonarkara.github.io/SLIC-Index/,"SLIC Index V3 — The city ranking that disagrees. 157 cities, 5 pillars, 35 signals, every score traceable. Not a ranking — a reality check. Launched at SCSE 2026 Taipei to 3,000 professionals. Open source, free, no paywall, no black box."
geopolitics-dashboard,Nonarkara/geopolitics-dashboard,https://github.com/Nonarkara/geopolitics-dashboard,2026-03-11T07:40:28Z,2026-07-22T09:20:53Z,2026-08-31T12:36:43Z,false,false,TypeScript,0,,
phuket-dashboard,Nonarkara/phuket-dashboard,https://github.com/Nonarkara/phuket-dashboard,2026-03-12T18:56:16Z,2026-07-29T21:16:32Z,2026-08-28T18:10:15Z,false,false,TypeScript,0,,
SLIC-Index-V2.5,Nonarkara/SLIC-Index-V2.5,https://github.com/Nonarkara/SLIC-Index-V2.5,2026-03-14T07:41:39Z,2026-08-31T12:58:34Z,2026-07-21T12:42:51Z,true,false,TypeScript,0,https://nonarkara.github.io/SLIC-Index-V2.5/,"SLIC Index V2 — Launched at Smart City Summit & Expo 2026, Taipei. 174 cities, 53 countries. Interactive spider diagram for custom pillar weights. The version European mayors asked to use instead of The Economist's index. [Archive — see V3 for latest]"
Axiom,Nonarkara/Axiom,https://github.com/Nonarkara/Axiom,2026-03-15T15:59:17Z,2026-08-31T12:53:01Z,2026-08-31T12:46:30Z,false,false,JavaScript,0,,Axiom — Innovation as a Service. AI consultancy landing page.
DrNon-Global-Satellite-Toolkit,Nonarkara/DrNon-Global-Satellite-Toolkit,https://github.com/Nonarkara/DrNon-Global-Satellite-Toolkit,2026-03-20T07:37:58Z,2026-08-07T05:19:15Z,2026-03-26T05:19:12Z,false,false,TypeScript,1,,"Open-source framework for building satellite-powered dashboards at any scale. 30 pluggable data modules (NASA, ESA, ACLED, GDELT, OpenSky, AQI, transit), 20+ satellite APIs from 80+ space agencies, Deck.gl rendering, fallback architecture. Clone → pick your geography → deploy. Used in production smart city systems. By Dr Non Arkaraprasertkul."
